cl_CMB_lensing cl_CIB correlated_cls ell
1.0885119590325162e-06 3.05518150051174e-08 1.7079969674446167e-08 35
1.5357565742369147e-06 3.821801841411905e-08 3.245789088266529e-08 36
1.2310817913471925e-06 2.4436617953263842e-08 1.0342610501588316e-08 37
1.5458034573299242e-06 4.2682321835224095e-08 6.105645929910418e-08 38
1.3216240677120938e-06 3.397368408663036e-08 4.9132458829527744e-11 39
9.987016624752504e-07 2.8197719060636533e-08 1.5481075668580306e-08 40
1.4385629971639667e-06 2.3079192191492268e-08 2.6915262421099873e-08 41
9.984369913000139e-07 3.269992822438842e-08 4.831480257548648e-08 42
1.1094600669747135e-06 2.6919262465139496e-08 2.6559105189488675e-08 43
9.688473726986885e-07 3.0532432926312985e-08 -4.739454488624816e-09 44
9.606243107347435e-07 2.9376270268265126e-08 -3.4394290696272163e-09 45
1.279429643295723e-06 2.6374021078788274e-08 2.4791044480718703e-10 46
9.030820474142943e-07 2.59715470918764e-08 4.391742930017725e-08 47
1.0801291650265397e-06 3.356924630662059e-08 2.7346321797188786e-08 48
1.0394102510326194e-06 3.965753729761918e-08 3.4640364858098044e-08 49
1.0208507710779845e-06 2.7093868164590253e-08 3.287002858292293e-08 50
1.3490452231705661e-06 3.322940207986339e-08 1.861854893768285e-08 51
1.226397300026629e-06 3.2384158596137664e-08 3.3824013864240613e-08 52
1.1971951144463948e-06 3.130320539765811e-08 3.5310786401052295e-08 53
1.1801895499427945e-06 3.2679550592325615e-08 2.7870046683918465e-08 54
1.2909266438578652e-06 3.7456863110962397e-08 4.604947308059972e-08 55
1.0972335357175183e-06 2.8886424141907388e-08 -1.3181820185577754e-09 56
1.5227010703606991e-06 2.6209674331605712e-08 -3.9631328442024343e-10 57
1.0314593296006558e-06 3.449719560022764e-08 3.1969031144804114e-08 58
1.4167045227785052e-06 3.045937935894719e-08 2.2877060861422412e-08 59
1.1133738761586136e-06 3.741055558522146e-08 3.0746905701640175e-08 60
1.1573444309367116e-06 3.290723038573502e-08 2.9771424856017666e-08 61
1.271442389061227e-06 3.9310491931977865e-08 2.057048566938573e-08 62
1.3755567767742338e-06 2.761931128094122e-08 1.5837552674451618e-08 63
1.0387558544305806e-06 3.959572657903885e-08 1.1501966327465867e-08 64
9.306993798910021e-07 3.78503803844129e-08 3.522427890927236e-08 65
1.2104234546735462e-06 3.868194440774286e-08 3.824983261438096e-08 66
9.458682602279986e-07 4.117628926906751e-08 1.7355923752737906e-08 67
1.1108274778230092e-06 4.164014920389835e-08 6.405517093806619e-09 68
1.3208498705324927e-06 3.403629409942772e-08 4.521400393561461e-08 69
1.2142683721138785e-06 3.8512766287807244e-08 2.7478971722647987e-08 70
1.1606132235565317e-06 3.6566228403042884e-08 9.32835062880106e-09 71
1.1754174630035996e-06 4.11481406983404e-08 4.513781519255686e-08 72
9.95613251972539e-07 4.038336480875996e-08 1.2161353188901538e-08 73
1.2885548257224945e-06 3.3740129687052333e-08 2.8384967818210314e-08 74
1.1739842319603346e-06 4.2786156259139295e-08 3.701936004425319e-08 75
1.3537469034255248e-06 2.971943867342034e-08 4.088999341467814e-08 76
1.2560001522307413e-06 3.732461129561799e-08 7.623616329116824e-08 77
1.433005800040782e-06 3.4498530505434895e-08 4.412019235740565e-08 78
1.2098447124323784e-06 5.0919743943236e-08 5.320869978313429e-08 79
1.332629801462486e-06 4.844054852965535e-08 3.522042514042089e-08 80
1.0701683470907058e-06 5.385646010166173e-08 4.61644630491976e-08 81
1.3198580537845889e-06 4.95174861522115e-08 2.1768054962931927e-08 82
1.1927475266945228e-06 4.288418353991825e-08 4.3177699168861866e-08 83
1.5091588184334657e-06 4.086039705016215e-08 5.3676178271616435e-08 84
1.3344600175089897e-06 4.81982064339489e-08 3.915569755903081e-08 85
1.4051038709018793e-06 3.803264188734902e-08 5.094008499153029e-08 86
1.2772706539334674e-06 3.744752379967291e-08 3.716542788374692e-08 87
1.3637416988685095e-06 3.4158792892630115e-08 3.846966452300969e-08 88
1.373656954765378e-06 4.0877292192210625e-08 1.571898183836592e-08 89
1.1650581737219923e-06 4.090048171913705e-08 3.017500744138616e-08 90
1.1017296402593894e-06 3.6276909113263176e-08 4.956350602338696e-08 91
1.3986271532294426e-06 3.610406376908652e-08 5.217623333820466e-08 92
1.0946351484168521e-06 3.8441426331129826e-08 1.4717643286074191e-08 93
1.2340405955514586e-06 4.7435334361430575e-08 2.637407239796577e-08 94
1.2614283720133703e-06 3.189706239796391e-08 7.343761008022697e-09 95
1.3696043964226278e-06 3.485816692053031e-08 5.9240317846269153e-08 96
1.1529888449005184e-06 3.558983873313062e-08 1.4639645322483148e-08 97
1.4091588888524905e-06 3.855242922406384e-08 3.099688285979619e-08 98
1.1268145287894672e-06 4.260512318986298e-08 3.489443801650141e-08 99
1.209962340454653e-06 4.160963141318409e-08 2.9669931192870403e-08 100
1.0229744534818639e-06 4.4156008317155034e-08 1.3801135130940786e-08 101
1.1941202257259046e-06 3.6143775712286874e-08 3.6040492248255644e-08 102
1.2846352621467283e-06 3.3845835358046724e-08 1.2263851986067986e-08 103
1.3226659483782428e-06 3.327102496901604e-08 3.028510716830918e-08 104
1.2361097883788497e-06 4.2621743988484925e-08 4.7336607418854225e-09 105
1.2978416846332957e-06 4.030508769223261e-08 3.0419263302932635e-08 106
1.2356876608465133e-06 4.160139355257273e-08 1.68621878312998e-08 107
1.248822673088755e-06 4.391336512949294e-08 2.6425685299611243e-08 108
1.2739941846768321e-06 4.7053484481461435e-08 5.8573584472364915e-08 109
1.3524210115374253e-06 4.7544993491261395e-08 4.599220989891573e-09 110
1.4589674543442848e-06 3.4394979990017424e-08 4.802040835227112e-08 111
1.276822201280972e-06 3.8783596722585466e-08 3.4678772726175887e-08 112
1.2371351788527169e-06 4.2165777037260635e-08 5.2759711667669956e-08 113
1.3603928820780708e-06 4.0142978932383326e-08 5.275132070292019e-08 114
1.0734333773651106e-06 4.1102315958224555e-08 2.193198911761758e-08 115
1.2601016589364583e-06 4.098347404049255e-08 3.235502572182608e-08 116
9.028802902837873e-07 3.8663172459224116e-08 4.469790547761877e-08 117
1.2356752443921814e-06 3.9109091889965026e-08 4.224611841205633e-08 118
1.2474101280171584e-06 3.709040667854433e-08 5.8873384184066384e-08 119
1.231862132338022e-06 3.927588480163074e-08 2.747278761578918e-08 120
1.1818662449887547e-06 4.157685433381987e-08 2.8108960575474976e-08 121
1.2257080887327166e-06 3.618494304632495e-08 1.7017033146674945e-08 122
1.497892234874169e-06 3.66558094694236e-08 5.9358834699649164e-08 123
1.2163027091285937e-06 4.3728205574518025e-08 2.3508108302896602e-08 124
